District,KDG_District,Original Maize Production Value,Perturbation,Factor,New Maize Production Values,Percentage Change,Change
BENGALURU(R),Bengaluru Rural,2354.0,-10,AreaUnderCereals_Paddy,2118,-10.025488530161427,-236.0
RAMANAGARA,Ramanagara,12128.0,-10,AreaUnderCereals_Paddy,10697,-11.799142480211081,-1431.0
CHITRADURGA,Chitradurga,4566.0,-10,AreaUnderCereals_Paddy,4150,-9.110819097678494,-416.0
DAVANAGERE,Davanagere,489505.0,-10,AreaUnderCereals_Paddy,458036,-6.4287392365757245,-31469.0
KOLAR,Kolar,864.0,-10,AreaUnderCereals_Paddy,737,-14.699074074074073,-127.0
CHIKKABALLAPURA,Chikkaballapura,2698.0,-10,AreaUnderCereals_Paddy,2271,-15.826538176426983,-427.0
SHIVAMOGGA,Shivamogga,384974.0,-10,AreaUnderCereals_Paddy,349868,-9.119057390888734,-35106.0
TUMAKURU,Tumakuru,26042.0,-10,AreaUnderCereals_Paddy,22718,-12.763996620843255,-3324.0
CHIKKAMAGALURU,Chikkamagaluru,110533.0,-10,AreaUnderCereals_Paddy,99953,-9.571802086254785,-10580.0
DAKSHINA KANNADA,Dakshina Kannada,132588.0,-10,AreaUnderCereals_Paddy,116995,-11.760491145503364,-15593.0
UDUPI,Udupi,138156.0,-10,AreaUnderCereals_Paddy,122268,-11.500043429167029,-15888.0
HASSAN,Hassan,143705.0,-10,AreaUnderCereals_Paddy,129992,-9.542465467450679,-13713.0
KODAGU,Kodagu,86303.0,-10,AreaUnderCereals_Paddy,77228,-10.515277568566562,-9075.0
MANDYA,Mandya,246543.0,-10,AreaUnderCereals_Paddy,227812,-7.597457644305456,-18731.0
MYSURU,Mysuru,354227.0,-10,AreaUnderCereals_Paddy,324276,-8.455312553814363,-29951.0
CHAMARAJANAGAR,Chamarajanagara,45856.0,-10,AreaUnderCereals_Paddy,41410,-9.695568736915563,-4446.0
BELAGAVI,Belagavi,177552.0,-10,AreaUnderCereals_Paddy,157942,-11.044651707668738,-19610.0
VIJAYAPURA,Vijayapura,170.0,-10,AreaUnderCereals_Paddy,153,-10.0,-17.0
BAGALKOT,Bagalkote,85.0,-10,AreaUnderCereals_Paddy,74,-12.941176470588237,-11.0
DHARAWAD,Dharwad,33989.0,-10,AreaUnderCereals_Paddy,26331,-22.530818794315806,-7658.0
GADAG,Gadag,7258.0,-10,AreaUnderCereals_Paddy,6711,-7.536511435657206,-547.0
HAVERI,Haveri,125422.0,-10,AreaUnderCereals_Paddy,111020,-11.482833952576103,-14402.0
UTTARA KANNADA,Uttara Kannada,152981.0,-10,AreaUnderCereals_Paddy,131796,-13.848124930546932,-21185.0
BALLARI,Ballari,206115.5,-10,AreaUnderCereals_Paddy,191117,-7.276745319978362,-14998.5
BIDAR,Bidar,2036.0,-10,AreaUnderCereals_Paddy,1540,-24.361493123772103,-496.0
KALABURAGI,Kalaburagi,7888.0,-10,AreaUnderCereals_Paddy,6543,-17.051217038539555,-1345.0
YADGIRI,Yadgir,224659.0,-10,AreaUnderCereals_Paddy,208851,-7.036441896385188,-15808.0
RAICHUR,Raichur,492342.0,-10,AreaUnderCereals_Paddy,455433,-7.49661820441888,-36909.0
