District,Original Maize Production Value,Perturbation,Factor,New Maize Production Values,Percentage Change,Change
HAVERI,18309.0,-20,TotalNPK,16522,-9.760227210661423,-1787.0
UTTARA KANNADA,3825.0,-20,TotalNPK,3522,-7.92156862745098,-303.0
BALLARI,22938.5,-20,TotalNPK,20134,-12.226169976240818,-2804.5
BIDAR,261.0,-20,TotalNPK,225,-13.793103448275861,-36.0
KALABURAGI,3114.0,-20,TotalNPK,2885,-7.353885677585099,-229.0
YADGIRI,31435.0,-20,TotalNPK,24875,-20.86845872435184,-6560.0
RAICHUR,26958.0,-20,TotalNPK,23485,-12.883003190147639,-3473.0
KOPPAL,29982.0,-20,TotalNPK,27359,-8.748582482823027,-2623.0
VIJAYANAGARA,22938.5,-20,TotalNPK,20134,-12.226169976240818,-2804.5
BENGALURU,71.0,-20,AreaUnderOilSeeds_GroundNut,61,-14.084507042253522,-10.0
BENGALURU(R),206.0,-20,AreaUnderOilSeeds_GroundNut,182,-11.650485436893204,-24.0
RAMANAGARA,4830.0,-20,AreaUnderOilSeeds_GroundNut,4384,-9.233954451345756,-446.0
CHITRADURGA,68575.0,-20,AreaUnderOilSeeds_GroundNut,55536,-19.01421800947867,-13039.0
DAVANAGERE,16592.0,-20,AreaUnderOilSeeds_GroundNut,14532,-12.415621986499518,-2060.0
KOLAR,5810.0,-20,AreaUnderOilSeeds_GroundNut,4649,-19.98278829604131,-1161.0
CHIKKABALLAPURA,7132.0,-20,AreaUnderOilSeeds_GroundNut,4498,-36.93213684800897,-2634.0
SHIVAMOGGA,248.0,-20,AreaUnderOilSeeds_GroundNut,188,-24.193548387096776,-60.0
TUMAKURU,39626.0,-20,AreaUnderOilSeeds_GroundNut,30893,-22.038560541058903,-8733.0
CHIKKAMAGALURU,3909.0,-20,AreaUnderOilSeeds_GroundNut,3095,-20.823740086978766,-814.0
DAKSHINA KANNADA,0.0,-20,AreaUnderOilSeeds_GroundNut,0,,0.0
UDUPI,3623.0,-20,AreaUnderOilSeeds_GroundNut,3370,-6.9831631244824734,-253.0
HASSAN,521.0,-20,AreaUnderOilSeeds_GroundNut,401,-23.032629558541267,-120.0
KODAGU,45.0,-20,AreaUnderOilSeeds_GroundNut,36,-20.0,-9.0
MANDYA,1021.0,-20,AreaUnderOilSeeds_GroundNut,831,-18.60920666013712,-190.0
MYSURU,2170.0,-20,AreaUnderOilSeeds_GroundNut,1838,-15.299539170506913,-332.0
CHAMARAJANAGAR,8867.0,-20,AreaUnderOilSeeds_GroundNut,7174,-19.093267170407128,-1693.0
BELAGAVI,39530.0,-20,AreaUnderOilSeeds_GroundNut,34210,-13.458133063496078,-5320.0
VIJAYAPURA,27528.0,-20,AreaUnderOilSeeds_GroundNut,24005,-12.797878523684975,-3523.0
BAGALKOT,25444.0,-20,AreaUnderOilSeeds_GroundNut,21700,-14.714667505109261,-3744.0
DHARAWAD,21178.0,-20,AreaUnderOilSeeds_GroundNut,16038,-24.27046935499103,-5140.0
GADAG,31332.0,-20,AreaUnderOilSeeds_GroundNut,25478,-18.683773777607556,-5854.0
HAVERI,18309.0,-20,AreaUnderOilSeeds_GroundNut,15780,-13.812878912010488,-2529.0
UTTARA KANNADA,3825.0,-20,AreaUnderOilSeeds_GroundNut,3547,-7.26797385620915,-278.0
BALLARI,22938.5,-20,AreaUnderOilSeeds_GroundNut,18152,-20.866665213505676,-4786.5
BIDAR,261.0,-20,AreaUnderOilSeeds_GroundNut,232,-11.11111111111111,-29.0
KALABURAGI,3114.0,-20,AreaUnderOilSeeds_GroundNut,2746,-11.817597944765575,-368.0
YADGIRI,31435.0,-20,AreaUnderOilSeeds_GroundNut,27699,-11.884841736917448,-3736.0
RAICHUR,26958.0,-20,AreaUnderOilSeeds_GroundNut,23499,-12.831070554195415,-3459.0
KOPPAL,29982.0,-20,AreaUnderOilSeeds_GroundNut,27839,-7.1476219064772195,-2143.0
VIJAYANAGARA,22938.5,-20,AreaUnderOilSeeds_GroundNut,18152,-20.866665213505676,-4786.5
BENGALURU,71.0,-20,MotorVehicles_Tractors,13,-81.69014084507043,-58.0
BENGALURU(R),206.0,-20,MotorVehicles_Tractors,199,-3.3980582524271843,-7.0
RAMANAGARA,4830.0,-20,MotorVehicles_Tractors,3507,-27.391304347826086,-1323.0
CHITRADURGA,68575.0,-20,MotorVehicles_Tractors,56566,-17.512212905577833,-12009.0
DAVANAGERE,16592.0,-20,MotorVehicles_Tractors,14625,-11.855110896817743,-1967.0
KOLAR,5810.0,-20,MotorVehicles_Tractors,1138,-80.4130808950086,-4672.0
CHIKKABALLAPURA,7132.0,-20,MotorVehicles_Tractors,5251,-26.374088614694337,-1881.0
SHIVAMOGGA,248.0,-20,MotorVehicles_Tractors,217,-12.5,-31.0
TUMAKURU,39626.0,-20,MotorVehicles_Tractors,30079,-24.092767374955837,-9547.0
CHIKKAMAGALURU,3909.0,-20,MotorVehicles_Tractors,2718,-30.46815042210284,-1191.0
DAKSHINA KANNADA,0.0,-20,MotorVehicles_Tractors,0,,0.0
UDUPI,3623.0,-20,MotorVehicles_Tractors,3094,-14.601159260281534,-529.0
HASSAN,521.0,-20,MotorVehicles_Tractors,433,-16.89059500959693,-88.0
KODAGU,45.0,-20,MotorVehicles_Tractors,30,-33.33333333333333,-15.0
MANDYA,1021.0,-20,MotorVehicles_Tractors,878,-14.005876591576886,-143.0
MYSURU,2170.0,-20,MotorVehicles_Tractors,1821,-16.082949308755758,-349.0
CHAMARAJANAGAR,8867.0,-20,MotorVehicles_Tractors,8204,-7.477162512687493,-663.0
BELAGAVI,39530.0,-20,MotorVehicles_Tractors,36472,-7.735896787250189,-3058.0
VIJAYAPURA,27528.0,-20,MotorVehicles_Tractors,25451,-7.545045045045046,-2077.0
BAGALKOT,25444.0,-20,MotorVehicles_Tractors,23083,-9.279201383430278,-2361.0
DHARAWAD,21178.0,-20,MotorVehicles_Tractors,19115,-9.741240910378695,-2063.0
GADAG,31332.0,-20,MotorVehicles_Tractors,25895,-17.352866079407633,-5437.0
HAVERI,18309.0,-20,MotorVehicles_Tractors,17477,-4.544213228466874,-832.0
UTTARA KANNADA,3825.0,-20,MotorVehicles_Tractors,3648,-4.627450980392156,-177.0
BALLARI,22938.5,-20,MotorVehicles_Tractors,18053,-21.29825402707239,-4885.5
BIDAR,261.0,-20,MotorVehicles_Tractors,227,-13.026819923371647,-34.0
KALABURAGI,3114.0,-20,MotorVehicles_Tractors,2803,-9.987154784842646,-311.0
YADGIRI,31435.0,-20,MotorVehicles_Tractors,28253,-10.12247494830603,-3182.0
RAICHUR,26958.0,-20,MotorVehicles_Tractors,23562,-12.597373692410416,-3396.0
KOPPAL,29982.0,-20,MotorVehicles_Tractors,27377,-8.68854646121006,-2605.0
VIJAYANAGARA,22938.5,-20,MotorVehicles_Tractors,18053,-21.29825402707239,-4885.5
BENGALURU,71.0,-20,LivestockCensus_2012_Sheep,64,-9.859154929577464,-7.0
BENGALURU(R),206.0,-20,LivestockCensus_2012_Sheep,189,-8.25242718446602,-17.0
RAMANAGARA,4830.0,-20,LivestockCensus_2012_Sheep,4455,-7.763975155279502,-375.0
CHITRADURGA,68575.0,-20,LivestockCensus_2012_Sheep,55755,-18.69485964272694,-12820.0
DAVANAGERE,16592.0,-20,LivestockCensus_2012_Sheep,16151,-2.657907425265188,-441.0
KOLAR,5810.0,-20,LivestockCensus_2012_Sheep,3205,-44.836488812392425,-2605.0
CHIKKABALLAPURA,7132.0,-20,LivestockCensus_2012_Sheep,5626,-21.116096466629276,-1506.0
SHIVAMOGGA,248.0,-20,LivestockCensus_2012_Sheep,246,-0.8064516129032258,-2.0
TUMAKURU,39626.0,-20,LivestockCensus_2012_Sheep,31565,-20.34270428506536,-8061.0
CHIKKAMAGALURU,3909.0,-20,LivestockCensus_2012_Sheep,3436,-12.100281401893067,-473.0
DAKSHINA KANNADA,0.0,-20,LivestockCensus_2012_Sheep,0,,0.0
UDUPI,3623.0,-20,LivestockCensus_2012_Sheep,3622,-0.02760143527463428,-1.0
HASSAN,521.0,-20,LivestockCensus_2012_Sheep,478,-8.253358925143955,-43.0
KODAGU,45.0,-20,LivestockCensus_2012_Sheep,44,-2.2222222222222223,-1.0
MANDYA,1021.0,-20,LivestockCensus_2012_Sheep,730,-28.50146914789422,-291.0
MYSURU,2170.0,-20,LivestockCensus_2012_Sheep,1908,-12.073732718894009,-262.0
CHAMARAJANAGAR,8867.0,-20,LivestockCensus_2012_Sheep,7273,-17.976767790684562,-1594.0
BELAGAVI,39530.0,-20,LivestockCensus_2012_Sheep,36320,-8.12041487477865,-3210.0
VIJAYAPURA,27528.0,-20,LivestockCensus_2012_Sheep,25928,-5.812263876780006,-1600.0
BAGALKOT,25444.0,-20,LivestockCensus_2012_Sheep,21006,-17.442226065084107,-4438.0
DHARAWAD,21178.0,-20,LivestockCensus_2012_Sheep,20518,-3.1164415903295875,-660.0
GADAG,31332.0,-20,LivestockCensus_2012_Sheep,28217,-9.941912421805183,-3115.0
HAVERI,18309.0,-20,LivestockCensus_2012_Sheep,17474,-4.560598612704134,-835.0
UTTARA KANNADA,3825.0,-20,LivestockCensus_2012_Sheep,3813,-0.3137254901960784,-12.0
BALLARI,22938.5,-20,LivestockCensus_2012_Sheep,18170,-20.788194520129913,-4768.5
BIDAR,261.0,-20,LivestockCensus_2012_Sheep,243,-6.896551724137931,-18.0
KALABURAGI,3114.0,-20,LivestockCensus_2012_Sheep,3055,-1.8946692357096981,-59.0
YADGIRI,31435.0,-20,LivestockCensus_2012_Sheep,26822,-14.67472562430412,-4613.0
RAICHUR,26958.0,-20,LivestockCensus_2012_Sheep,24298,-9.867200830922176,-2660.0
KOPPAL,29982.0,-20,LivestockCensus_2012_Sheep,27277,-9.022079914615436,-2705.0
VIJAYANAGARA,22938.5,-20,LivestockCensus_2012_Sheep,18170,-20.788194520129913,-4768.5
