District,KDG_District,Original Rice Production,Original Maize Production,Initial Stress,Initial Stability,New Rice Production,New Maize Production,Rice Impact,Maize Impact,Stability,Stress,Perturbation,Factor
VIJAYANAGARA,Vijayanagara,22938.5,104045,0.32875058235570903,0.6712494176442909,22147,99127,-3.4505307670510277,-4.726800903455235,0.6675107739714383,0.33248922602856174,-10,TotalNPK
BENGALURU,Bengaluru Urban,71.0,2879,0.05347237266796119,0.9465276273320388,80,3391,12.676056338028168,17.783952761375478,0.9471546575318599,0.052845342468140065,20,TotalNPK
BENGALURU(R),Bengaluru Rural,206.0,42583,0.1648287272605715,0.8351712727394285,218,46135,5.825242718446602,8.341356879505907,0.8334743679014446,0.16652563209855542,20,TotalNPK
RAMANAGARA,Ramanagara,4830.0,10450,0.10705738980098825,0.8929426101990118,4917,10710,1.8012422360248446,2.488038277511962,0.8916607870269553,0.10833921297304475,20,TotalNPK
CHITRADURGA,Chitradurga,68575.0,271975,0.7058700845529036,0.29412991544709643,70921,284733,3.4210718191760843,4.690872322823789,0.3013425757052479,0.6986574242947521,20,TotalNPK
DAVANAGERE,Davanagere,16592.0,593544,0.6743961217727216,0.32560387822727843,17205,623622,3.694551591128255,5.06752658606607,0.3402272298793382,0.6597727701206618,20,TotalNPK
KOLAR,Kolar,5810.0,1759,0.12571230207381984,0.8742876979261802,6432,2017,10.705679862306368,14.667424673109721,0.8709059777214214,0.1290940222785786,20,TotalNPK
CHIKKABALLAPURA,Chikkaballapura,7132.0,105491,0.16485912553968798,0.835140874460312,7605,115083,6.6320807627593945,9.09271881013546,0.8329059676605256,0.1670940323394744,20,TotalNPK
SHIVAMOGGA,Shivamogga,248.0,226532,0.1319883906591076,0.8680116093408924,257,238735,3.6290322580645165,5.386876909222538,0.8668504512086758,0.1331495487913242,20,TotalNPK
TUMAKURU,Tumakuru,39626.0,66868,0.40849822748061015,0.5915017725193898,41015,70081,3.5052743148437893,4.804988933421068,0.5915356495933974,0.4084643504066025,20,TotalNPK
CHIKKAMAGALURU,Chikkamagaluru,3909.0,61353,0.33243530731599663,0.6675646926840033,4352,70897,11.332821693527755,15.555881537985103,0.6806570225706106,0.3193429774293894,20,TotalNPK
DAKSHINA KANNADA,Dakshina Kannada,0.0,0,0.1765753591303179,0.8234246408696821,0,0,,,0.8209577457620489,0.17904225423795106,20,TotalNPK
