District,KDG_District,Crop,Original Production,New Production,Impact,Stability,Stress,SI Score,Perturbation,Factor
GADAG,Gadag,Maize,138476.0,141743,2.3592535890695863,0.755649689834546,0.24435031016545403,0.017521574129785653,10,TotalNPK
HAVERI,Haveri,Maize,413487.0,426188,3.0716806090638884,0.48386973642542763,0.5161302635745724,0.014530913666375033,10,TotalNPK
UTTARA KANNADA,Uttara Kannada,Maize,24088.0,24687,2.486715376951179,0.46215254568565356,0.5378474543143464,0.011285104203927577,10,TotalNPK
BALLARI,Ballari,Maize,104045.0,108956,4.72007304531693,0.6961204419287996,0.3038795580712004,0.03172793611328794,10,TotalNPK
BIDAR,Bidar,Maize,2791.0,2936,5.19527051236116,0.9881757755572628,0.01182422444273725,0.04956811486134604,10,TotalNPK
KALABURAGI,Kalaburagi,Maize,14621.0,15036,2.838383147527529,0.8667197163897301,0.13328028361026986,0.024095221713946277,10,TotalNPK
YADGIRI,Yadgir,Maize,2673.0,2888,8.043396932285821,0.8346639530068318,0.16533604699316815,0.06319499145751815,10,TotalNPK
RAICHUR,Raichur,Maize,723.0,758,4.840940525587829,0.6567089047989718,0.34329109520102813,0.03063991539510931,10,TotalNPK
KOPPAL,Koppal,Maize,190252.0,196679,3.378151083825663,0.8555038566645574,0.14449614333544264,0.028189804666597602,10,TotalNPK
VIJAYANAGARA,Vijayanagara,Maize,104045.0,108956,4.72007304531693,0.6025393384745097,0.3974606615254903,0.027462675257591954,10,TotalNPK
BENGALURU,Bengaluru Urban,Groundnut,71.0,66,-7.042253521126761,0.9613806313427506,0.038619368657249346,-0.09186330587883411,-10,TotalNPK
BENGALURU(R),Bengaluru Rural,Groundnut,206.0,199,-3.3980582524271843,0.9890323202404167,0.010967679759583352,-0.04262701972491592,-10,TotalNPK
RAMANAGARA,Ramanagara,Groundnut,4830.0,4786,-0.9109730848861284,0.9087806507928674,0.09121934920713258,-0.011408394423913075,-10,TotalNPK
CHITRADURGA,Chitradurga,Groundnut,68575.0,67404,-1.7076193948231864,0.7748141424454142,0.22518585755458576,-0.01846570790030961,-10,TotalNPK
DAVANAGERE,Davanagere,Groundnut,16592.0,16286,-1.8442622950819672,0.04938168416638833,0.9506183158336117,-0.0012729349546065493,-10,TotalNPK
KOLAR,Kolar,Groundnut,5810.0,5499,-5.352839931153184,0.8463061534201782,0.1536938465798218,-0.06589481735544844,-10,TotalNPK
CHIKKABALLAPURA,Chikkaballapura,Groundnut,7132.0,6896,-3.3090297251822767,0.8559515326955477,0.1440484673044523,-0.04016041742943714,-10,TotalNPK
SHIVAMOGGA,Shivamogga,Groundnut,248.0,243,-2.0161290322580645,0.9883694397790113,0.01163056022098877,-0.027133358189263365,-10,TotalNPK
TUMAKURU,Tumakuru,Groundnut,39626.0,38933,-1.7488517639933376,0.8741930553692638,0.1258069446307361,-0.021363090297875025,-10,TotalNPK
CHIKKAMAGALURU,Chikkamagaluru,Groundnut,3909.0,3687,-5.6792018419033,0.6399111056039604,0.36008889439603964,-0.05255446449815052,-10,TotalNPK
DAKSHINA KANNADA,Dakshina Kannada,Groundnut,0.0,0,,0.7713913923477482,0.22860860765225174,,-10,TotalNPK
UDUPI,Udupi,Groundnut,3623.0,3590,-0.9108473640629312,0.831607344149775,0.16839265585022503,-0.015397835187583798,-10,TotalNPK
HASSAN,Hassan,Groundnut,521.0,509,-2.3032629558541267,0.3301650794687302,0.6698349205312698,-0.010073301068004052,-10,TotalNPK
KODAGU,Kodagu,Groundnut,45.0,41,-8.88888888888889,0.6781406152664398,0.3218593847335603,-0.08475696052991866,-10,TotalNPK
MANDYA,Mandya,Groundnut,1021.0,988,-3.232125367286973,0.7264625330471743,0.2735374669528256,-0.032764299674720096,-10,TotalNPK
MYSURU,Mysuru,Groundnut,2170.0,2123,-2.165898617511521,1.0,0.0,-0.030242905667140354,-10,TotalNPK
CHAMARAJANAGAR,Chamarajanagara,Groundnut,8867.0,8680,-2.108943272809293,0.7946364916062802,0.20536350839371978,-0.02337850623477443,-10,TotalNPK
BELAGAVI,Belagavi,Groundnut,39530.0,38121,-3.5643814824184163,0.0,1.0,-0.0,-10,TotalNPK
VIJAYAPURA,Vijayapura,Groundnut,27528.0,26988,-1.9616390584132521,0.8704973492010007,0.12950265079899928,-0.023886718630415135,-10,TotalNPK
BAGALKOT,Bagalkote,Groundnut,25444.0,24456,-3.8830372582927217,0.9655878409737612,0.0344121590262388,-0.053438139302236586,-10,TotalNPK
DHARAWAD,Dharwad,Groundnut,21178.0,20536,-3.0314477287751442,0.5441579694466552,0.4558420305533449,-0.023314697572540944,-10,TotalNPK
GADAG,Gadag,Groundnut,31332.0,30793,-1.7202859696157282,0.7652481528063287,0.23475184719367123,-0.018370348707052203,-10,TotalNPK
HAVERI,Haveri,Groundnut,18309.0,17899,-2.2393358457589163,0.4615076527569738,0.5384923472430262,-0.014494631378327115,-10,TotalNPK
UTTARA KANNADA,Uttara Kannada,Groundnut,3825.0,3755,-1.8300653594771243,0.4491670028475415,0.5508329971524585,-0.011392902339078111,-10,TotalNPK
BALLARI,Ballari,Groundnut,22938.5,22149,-3.441811801120387,0.6724686108530333,0.3275313891469666,-0.03284016115520515,-10,TotalNPK
BIDAR,Bidar,Groundnut,261.0,251,-3.8314176245210727,0.9892890460992136,0.0107109539007864,-0.05373348433588737,-10,TotalNPK
KALABURAGI,Kalaburagi,Groundnut,3114.0,3049,-2.0873474630700066,0.8618016871484282,0.13819831285157186,-0.02503199786919877,-10,TotalNPK
YADGIRI,Yadgir,Groundnut,31435.0,29589,-5.8724351837124225,0.8274595938520637,0.17254040614793625,-0.0707920502765605,-10,TotalNPK
RAICHUR,Raichur,Groundnut,26958.0,25981,-3.6241560946657767,0.6491589437904751,0.3508410562095249,-0.03349471255846932,-10,TotalNPK
