District,KDG_District,Crop,Original Production,New Production,Impact,Stability,Stress,Perturbation,Factor
KOLAR,Kolar,Rice,864.0,857,-0.8101851851851851,0.8804637680524671,0.11953623194753293,-10,TotalNPK
CHIKKABALLAPURA,Chikkaballapura,Rice,2698.0,2684,-0.5189028910303929,0.8870654409575751,0.11293455904242486,-10,TotalNPK
SHIVAMOGGA,Shivamogga,Rice,384974.0,383844,-0.29352631606290297,0.6296245169435384,0.3703754830564617,-10,TotalNPK
TUMAKURU,Tumakuru,Rice,26042.0,25973,-0.2649566085554105,0.867253808771465,0.1327461912285351,-10,TotalNPK
CHIKKAMAGALURU,Chikkamagaluru,Rice,110533.0,109596,-0.8477106384518651,0.6936522126460193,0.3063477873539807,-10,TotalNPK
DAKSHINA KANNADA,Dakshina Kannada,Rice,132588.0,132020,-0.4283947265212538,0.8265896106932351,0.17341038930676483,-10,TotalNPK
UDUPI,Udupi,Rice,138156.0,137969,-0.1353542372390631,0.826356270443148,0.17364372955685206,-10,TotalNPK
HASSAN,Hassan,Rice,143705.0,143237,-0.3256671653735082,0.522321907074198,0.477678092925802,-10,TotalNPK
KODAGU,Kodagu,Rice,86303.0,85223,-1.2514049337798223,0.6535263328956876,0.3464736671043124,-10,TotalNPK
MANDYA,Mandya,Rice,246543.0,245368,-0.4765902905375533,0.6675840994404665,0.3324159005595335,-10,TotalNPK
MYSURU,Mysuru,Rice,354227.0,353083,-0.3229567480739751,0.5439202682090296,0.4560797317909704,-10,TotalNPK
CHAMARAJANAGAR,Chamarajanagara,Rice,45856.0,45711,-0.3162072575017446,0.6423591042272802,0.35764089577271985,-10,TotalNPK
BELAGAVI,Belagavi,Rice,177552.0,176604,-0.5339280886726142,0.2410638372586189,0.7589361627413811,-10,TotalNPK
VIJAYAPURA,Vijayapura,Rice,170.0,169,-0.5882352941176471,0.6198268987915796,0.3801731012084204,-10,TotalNPK
BAGALKOT,Bagalkote,Rice,85.0,84,-1.1764705882352942,0.624169226353253,0.37583077364674694,-10,TotalNPK
DHARAWAD,Dharwad,Rice,33989.0,33834,-0.45602989202389005,0.6315590055200366,0.3684409944799634,-10,TotalNPK
GADAG,Gadag,Rice,7258.0,7239,-0.2617801047120419,0.6750454174343812,0.3249545825656189,-10,TotalNPK
HAVERI,Haveri,Rice,125422.0,125001,-0.33566678892060403,0.5761598474895394,0.4238401525104606,-10,TotalNPK
UTTARA KANNADA,Uttara Kannada,Rice,152981.0,152565,-0.2719291938214549,0.6042423584192468,0.3957576415807532,-10,TotalNPK
BALLARI,Ballari,Rice,206115.5,205054,-0.5150025107282082,0.7576732396130557,0.24232676038694434,-10,TotalNPK
BIDAR,Bidar,Rice,2036.0,2024,-0.5893909626719057,0.9767287098096907,0.023271290190309244,-10,TotalNPK
KALABURAGI,Kalaburagi,Rice,7888.0,7863,-0.3169371196754564,0.8271825070779545,0.17281749292204548,-10,TotalNPK
YADGIRI,Yadgir,Rice,224659.0,222684,-0.8791101180010594,0.8248623680875727,0.1751376319124273,-10,TotalNPK
RAICHUR,Raichur,Rice,492342.0,489671,-0.5425090688992611,0.229970943242491,0.770029056757509,-10,TotalNPK
