District,KDG_District,Original Rice Production,Original Maize Production,Initial Stress,Initial Stability,New Rice Production,New Maize Production,Rice Impact,Maize Impact,Stability,Stress,Perturbation,Factor
BALLARI,Ballari,22938.5,104045,0.3286057076064117,0.6713942923935883,22149,99133,-3.441811801120387,-4.721034167908117,0.6724686108530333,0.3275313891469666,-10,TotalNPK
BIDAR,Bidar,261.0,2791,0.042514974740847186,0.9574850252591528,251,2645,-3.8314176245210727,-5.231099964170548,0.9892890460992136,0.0107109539007864,-10,TotalNPK
KALABURAGI,Kalaburagi,3114.0,14621,0.33139030033229383,0.6686096996677062,3049,14205,-2.0873474630700066,-2.8452226249914507,0.8618016871484282,0.13819831285157186,-10,TotalNPK
YADGIRI,Yadgir,31435.0,2673,0.2745340527415435,0.7254659472584565,29589,2457,-5.8724351837124225,-8.080808080808081,0.8274595938520637,0.17254040614793625,-10,TotalNPK
RAICHUR,Raichur,26958.0,723,0.3255497948401177,0.6744502051598823,25981,687,-3.6241560946657767,-4.979253112033195,0.6491589437904751,0.3508410562095249,-10,TotalNPK
KOPPAL,Koppal,29982.0,190252,0.1569925712713358,0.8430074287286642,29244,183824,-2.461476886131679,-3.3786767024788174,0.8455453874424586,0.15445461255754145,-10,TotalNPK
VIJAYANAGARA,Vijayanagara,22938.5,104045,0.41648396243750463,0.5835160375624954,22149,99133,-3.441811801120387,-4.721034167908117,0.5738807403111175,0.4261192596888826,-10,TotalNPK
BENGALURU,Bengaluru Urban,71.0,2879,0.05222813228440337,0.9477718677155966,80,3391,12.676056338028168,17.783952761375478,0.9612211455606586,0.038778854439341336,20,TotalNPK
BENGALURU(R),Bengaluru Rural,206.0,42583,0.19957797675979674,0.8004220232402033,218,46132,5.825242718446602,8.33431181457389,0.9867310453006398,0.01326895469936021,20,TotalNPK
RAMANAGARA,Ramanagara,4830.0,10450,0.12313332642127031,0.8768666735787297,4917,10709,1.8012422360248446,2.4784688995215314,0.9104172686751727,0.08958273132482733,20,TotalNPK
CHITRADURGA,Chitradurga,68575.0,271975,0.9154990406581235,0.08450095934187651,70915,284719,3.4123222748815163,4.6857247908815145,0.8039348744851456,0.1960651255148544,20,TotalNPK
DAVANAGERE,Davanagere,16592.0,593544,0.8738518123733005,0.12614818762669955,17203,623589,3.682497589199614,5.061966762363026,0.13420103715538778,0.8657989628446122,20,TotalNPK
KOLAR,Kolar,5810.0,1759,0.14781802836001584,0.8521819716399841,6430,2017,10.671256454388985,14.667424673109721,0.8473421639149912,0.15265783608500882,20,TotalNPK
CHIKKABALLAPURA,Chikkaballapura,7132.0,105491,0.199618200613357,0.800381799386643,7603,115072,6.604038137969715,9.082291380307325,0.8526883039378912,0.14731169606210875,20,TotalNPK
