District,KDG_District,Original Groundnut Production Value,Perturbation,Factor,New Groundnut Production Values,Percentage Change,Change,Initial Stress,Initial Stability,Stress,Stability
GADAG,Gadag,31332.0,20,LivestockCensus_2012_Sheep,31728,1.2638835695135964,396.0,0.08125410134888805,0.9187458986511119,0.07884508381640315,0.9211549161835968
HAVERI,Haveri,18309.0,20,LivestockCensus_2012_Sheep,18415,0.5789502430498662,106.0,0.0189802614447164,0.9810197385552836,0.016231145103038053,0.983768854896962
UTTARA KANNADA,Uttara Kannada,3825.0,20,LivestockCensus_2012_Sheep,3826,0.026143790849673207,1.0,0.18596573095151295,0.8140342690484871,0.18230153671836274,0.8176984632816373
BALLARI,Ballari,22938.5,20,LivestockCensus_2012_Sheep,23579,2.7922488392876605,640.5,0.11273787823550857,0.8872621217644914,0.10844031685331879,0.8915596831466812
BIDAR,Bidar,261.0,20,LivestockCensus_2012_Sheep,263,0.7662835249042145,2.0,0.04160408312067079,0.9583959168793292,0.04047871963741945,0.9595212803625806
KALABURAGI,Kalaburagi,3114.0,20,LivestockCensus_2012_Sheep,3121,0.22479126525369297,7.0,0.24246931583424478,0.7575306841657552,0.23928900219531193,0.7607109978046881
YADGIRI,Yadgir,31435.0,20,LivestockCensus_2012_Sheep,32054,1.969142675361858,619.0,0.17841779074006564,0.8215822092599343,0.17937823100347006,0.8206217689965299
RAICHUR,Raichur,26958.0,20,LivestockCensus_2012_Sheep,27315,1.3242822167816604,357.0,0.007400656215822088,0.9925993437841779,0.008903052191771121,0.9910969478082289
KOPPAL,Koppal,29982.0,20,LivestockCensus_2012_Sheep,30345,1.2107264358615168,363.0,0.0592023332118119,0.9407976667881881,0.05527937114935205,0.944720628850648
VIJAYANAGARA,Vijayanagara,22938.5,20,LivestockCensus_2012_Sheep,23579,2.7922488392876605,640.5,0.12175841536031112,0.8782415846396889,0.11769468640086866,0.8823053135991313
BENGALURU,Bengaluru Urban,71.0,20,MotorVehicles_Tractors,82,15.492957746478872,11.0,0.03568355814801312,0.9643164418519868,0.03618091868807172,0.9638190813119283
BENGALURU(R),Bengaluru Rural,206.0,20,MotorVehicles_Tractors,207,0.48543689320388345,1.0,0.16460517681370762,0.8353948231862924,0.16881703759038183,0.8311829624096182
RAMANAGARA,Ramanagara,4830.0,20,MotorVehicles_Tractors,5091,5.403726708074534,261.0,0.07478235508567264,0.9252176449143273,0.07433790469210279,0.9256620953078972
CHITRADURGA,Chitradurga,68575.0,20,MotorVehicles_Tractors,70949,3.4619030258840686,2374.0,0.6908377688662048,0.30916223113379515,0.6874261793682785,0.31257382063172146
DAVANAGERE,Davanagere,16592.0,20,MotorVehicles_Tractors,16980,2.33847637415622,388.0,0.09081540891967432,0.9091845910803257,0.09492734217536541,0.9050726578246346
KOLAR,Kolar,5810.0,20,MotorVehicles_Tractors,6733,15.886402753872634,923.0,0.031221290557783443,0.9687787094422166,0.040564349039450866,0.9594356509605492
CHIKKABALLAPURA,Chikkaballapura,7132.0,20,MotorVehicles_Tractors,7503,5.201906898485698,371.0,0.11785636164783082,0.8821436383521691,0.12189037195732144,0.8781096280426786
