District,Original Maize Production Value,Perturbation,Factor,New Maize Production Values,Percentage Change,Change,Initial Stress,Initial Stability,Stress,Stability
GADAG,138476,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,162323,17.22103469193218,23847,0.18330281447421884,0.8166971855257812,0.1929439938952267,0.8070560061047733
HAVERI,413487,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,463695,12.142582475386167,50208,0.38823575000336963,0.6117642499966304,0.38746329554382003,0.61253670445618
UTTARA KANNADA,24088,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,25438,5.604450348721355,1350,0.3999973043279016,0.6000026956720984,0.4039016158646896,0.5960983841353105
BALLARI,104045,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,129363,24.333701763659953,25318,0.23687905674582324,0.7631209432541768,0.23004790694252822,0.7699520930574718
BIDAR,2791,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,3288,17.807237549265494,497,0.019931125577884706,0.9800688744221153,0.01939397942899008,0.9806060205710099
KALABURAGI,14621,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,16206,10.840571780315985,1585,0.1055400554409895,0.8944599445590105,0.11803934344518624,0.8819606565548137
YADGIRI,2673,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,2892,8.19304152637486,219,0.13121857857210248,0.8687814214278975,0.1434240677713338,0.8565759322286662
RAICHUR,723,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,757,4.702627939142462,34,0.25992377987141646,0.7400762201285835,0.28674024108106655,0.7132597589189335
KOPPAL,190252,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,220744,16.027163971995037,30492,0.11870122518296872,0.8812987748170313,0.10643538417884854,0.8935646158211514
VIJAYANAGARA,104045,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,129363,24.333701763659953,25318,0.3053716320946721,0.6946283679053279,0.30056889807026055,0.6994311019297395
